"STUDENT_ID","GRAD_APPL_DATE","GRADUATION_DATE","GRADUATED_IND","TOTAL_CREDITS","DEGREE_TYPE","MAJOR","DEPARTMENT","COLLEGE","REQUIRED_HOURS","FULLY_ONLINE_IND","AID_ELIGIBLE_IND","HONORS","OVERALL_GPA"
5923185,08-NOV-17  09:22 AM,06-MAY-21  12:00 AM,"N",36,"Associates","Communication Studies","Unknown","Unknown",63,"U","U","",1.654
5923185,27-NOV-17  11:24 AM,06-MAY-21  12:00 AM,"N",36,"Associates","Business","Business Management","Business",61,"N","N","",1.654
5923185,18-APR-18  01:44 PM,06-MAY-21  12:00 AM,"N",36,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",1.654
789217,06-NOV-17  10:26 AM,06-MAY-21  12:00 AM,"N",19.98,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.867
3238489,11-DEC-17  11:30 AM,06-MAY-21  12:00 AM,"N",65,"Associates","Business","Business Management","Business",61,"N","N","",3.079
4363200,30-DEC-16  12:13 PM,06-MAY-21  12:00 AM,"N",13,"Associates","Business","Business Management","Business",61,"N","N","",0.635
5620701,25-JUL-17  03:02 PM,06-MAY-21  12:00 AM,"N",47,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.086
5305498,30-NOV-16  01:18 PM,06-MAY-21  12:00 AM,"N",65,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.877
5305498,10-FEB-17  03:38 PM,06-MAY-21  12:00 AM,"N",65,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",2.877
5549420,07-JAN-20  04:57 PM,06-MAY-21  12:00 AM,"N",47,"Associates","Business","Business Management","Business",62,"N","N","",3.796
5549420,07-AUG-17  09:17 AM,06-MAY-21  12:00 AM,"N",47,"Certificate","Pharmacy Technician","Unknown","Unknown",,"U","U","",3.796
6032952,18-APR-18  04:30 PM,06-MAY-21  12:00 AM,"N",13,"Associates","Biology","Biology","Science, Math & Engineering",,"N","N","",2.681
2109487,10-JAN-18  01:12 PM,06-MAY-21  12:00 AM,"N",45,"Associates","Business","Business Management","Business",61,"N","N","",2.664
2109487,31-AUG-18  12:55 PM,06-MAY-21  12:00 AM,"N",45,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.664
3059282,04-MAY-17  12:13 PM,06-MAY-21  12:00 AM,"N",10,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",1.657
3850380,15-MAY-17  10:39 AM,06-MAY-21  12:00 AM,"N",72,"Associates","Accounting","Accounting","Business",65,"N","N","",3.231
5415776,19-DEC-16  12:33 PM,06-MAY-21  12:00 AM,"N",22,"Associates","Business","Business Management","Business",62,"N","N","",2.908
812863,14-APR-17  09:32 AM,06-MAY-21  12:00 AM,"N",51,"Associates","Business Administration","Business Management","Business",65,"N","N","",3.976
2626101,13-DEC-16  01:55 PM,06-MAY-21  12:00 AM,"N",29,"Associates","Visual Arts- Animation","Visual Arts & Design","Arts, Comm, & New Media",64,"N","N","",2.542
2837466,29-DEC-16  12:57 PM,06-MAY-21  12:00 AM,"N",3,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",1.7
2837466,16-NOV-17  09:23 AM,06-MAY-21  12:00 AM,"N",3,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",1.7
5624845,03-JAN-17  05:08 PM,06-MAY-21  12:00 AM,"N",53,"Associates","Business","Business Management","Business",61,"N","N","",2.124
5624845,11-MAR-19  12:42 PM,06-MAY-21  12:00 AM,"N",53,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",2.124
5624845,28-APR-17  08:54 AM,06-MAY-21  12:00 AM,"N",53,"Associates","Criminal Justice","Criminal Justice/Inst. Pub Saf","Applied Tech &Tech Specialties",64,"N","N","",2.124
4839557,21-NOV-17  10:54 AM,06-MAY-21  12:00 AM,"N",18,"Associates","Business","Business Management","Business",62,"N","N","",1.943
5221267,19-DEC-16  01:07 PM,06-MAY-21  12:00 AM,"N",29,"Associates","Homeland Security/EmergencyMgt","Unknown","Unknown",64,"U","U","",2.345
5815721,10-AUG-17  12:48 PM,06-MAY-21  12:00 AM,"N",60,"Associates","Business","Business Management","Business",61,"N","N","",3.375
5815721,31-MAR-17  09:13 AM,06-MAY-21  12:00 AM,"N",60,"Associates","Business Management","Business Management","Business",,"N","N","",3.375
5877034,31-OCT-17  09:45 AM,06-MAY-21  12:00 AM,"N",70,"Associates","Biology","Biology","Science, Math & Engineering",,"N","N","",3.424
6001494,30-NOV-16  03:29 PM,06-MAY-21  12:00 AM,"N",,"Associates","Engineering/Civil/Environ","Unknown","Unknown",74,"U","U","",
2763756,17-FEB-17  05:00 AM,06-MAY-21  12:00 AM,"N",80,"Certificate","Transition to Teaching/ARL","Continuing Ed. Credit","Workforce Development",18,"N","N","",3.188
5003847,11-APR-17  08:34 AM,06-MAY-21  12:00 AM,"N",75,"Associates","Business","Business Management","Business",62,"N","N","",3.236
5711253,20-APR-17  08:25 AM,06-MAY-21  12:00 AM,"N",10,"Associates","Visual Arts Illustration Spec","Visual Arts & Design","Arts, Comm, & New Media",68,"N","N","",1.221
1959519,02-AUG-17  01:01 AM,06-MAY-21  12:00 AM,"N",,"Unknown","Personal Professional Training","Unknown","Unknown",,"U","U","",
1959519,11-SEP-17  11:48 AM,06-MAY-21  12:00 AM,"N",,"Certificate","Network Engineer","Unknown","Unknown",30,"U","U","",
3480843,05-JAN-17  02:20 PM,06-MAY-21  12:00 AM,"N",67,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.987
3538523,24-AUG-18  12:34 PM,06-MAY-21  12:00 AM,"N",77,"Associates","Pre-Medical Health Sciences","Biology","Science, Math & Engineering",,"N","N","",2.549
3538523,22-AUG-17  10:39 AM,06-MAY-21  12:00 AM,"N",77,"Associates","Education","Education, Pre-Teacher","Humanities & Social Sciences",63,"N","N","",2.549
4945838,08-DEC-16  03:24 PM,06-MAY-21  12:00 AM,"N",,"Associates","Music","Performing Arts","Arts, Comm, & New Media",61,"N","N","",
5400418,28-JAN-21  12:00 AM,06-MAY-21  12:00 AM,"N",114,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.514
5805816,01-DEC-16  12:35 PM,06-MAY-21  12:00 AM,"N",9,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.8
6004609,04-JAN-17  01:27 PM,06-MAY-21  12:00 AM,"N",6,"Associates","Business","Business Management","Business",61,"N","N","",3.7
6052650,12-DEC-16  01:24 PM,06-MAY-21  12:00 AM,"N",9,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",2.9
4008398,16-AUG-17  02:59 PM,06-MAY-21  12:00 AM,"N",31,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.295
4901906,26-APR-17  08:33 AM,06-MAY-21  12:00 AM,"N",85,"Associates","Pre-Health Sciences","Unknown","Unknown",61,"U","U","",3.861
